2019 rank,City,State,2019 estimate,2010 Census,Change,2016 land area mi2,2016 land area km2,2016 population density mi2,2016 population density km2,Location
292,Allen,Texas,105623,84246,+25.37%,27.1 mi2,70.2 km2,3715/mi2,1434/km2,33.0997°N 96.6631°W
293,West Covina,California,105101,106098,-0.94%,16.0 mi2,41.4 km2,6740/mi2,2600/km2,34.0559°N 117.9099°W
294,Sparks,Nevada,105006,90264,+16.33%,35.9 mi2,93.0 km2,2810/mi2,1080/km2,39.5544°N 119.7356°W
295,Wichita Falls,Texas,104683,104553,+0.12%,72.2 mi2,187.0 km2,1450/mi2,560/km2,33.9067°N 98.5259°W
296,Green Bay,Wisconsin,104578,104057,+0.50%,45.4 mi2,117.6 km2,2316/mi2,894/km2,44.5207°N 87.9842°W
297,San Mateo,California,104430,97207,+7.43%,12.1 mi2,31.3 km2,8592/mi2,3317/km2,37.5603°N 122.3106°W
298,Norwalk,California,103949,105549,-1.52%,9.7 mi2,25.1 km2,10946/mi2,4226/km2,33.9076°N 118.0835°W
299,Rialto,California,103526,99171,+4.39%,22.3 mi2,57.8 km2,4633/mi2,1789/km2,34.1118°N 117.3883°W
300,Las Cruces,New Mexico,103432,97618,+5.96%,76.9 mi2,199.2 km2,1323/mi2,511/km2,32.3264°N 106.7897°W
301,Chico,California,103301,86187,+19.86%,33.3 mi2,86.2 km2,3102/mi2,1198/km2,39.7400°N 121.8356°W
302,El Cajon,California,102708,99478,+3.25%,14.5 mi2,37.6 km2,7156/mi2,2763/km2,32.8017°N 116.9604°W
303,Burbank,California,102511,103340,-0.80%,17.4 mi2,45.1 km2,6003/mi2,2318/km2,34.1901°N 118.3264°W
304,South Bend,Indiana,102026,101168,+0.85%,41.4 mi2,107.2 km2,2457/mi2,949/km2,41.6769°N 86.2690°W
305,Renton,Washington,101751,90927,+11.90%,23.4 mi2,60.6 km2,4314/mi2,1666/km2,47.4761°N 122.1920°W
306,Vista,California,101638,93834,+8.32%,18.7 mi2,48.4 km2,5436/mi2,2099/km2,33.1895°N 117.2386°W
307,Davenport,Iowa,101590,99685,+1.91%,62.9 mi2,162.9 km2,1631/mi2,630/km2,41.5541°N 90.6040°W
308,Edinburg,Texas,101170,77100,+31.22%,37.6 mi2,97.4 km2,2691/mi2,1039/km2,26.3042°N 98.1639°W
309,Tuscaloosa,Alabama,101129,90468,+11.78%,71.7 mi2,185.7 km2,1399/mi2,540/km2,33.2065°N 87.5346°W
310,Carmel,Indiana,101068,79191,+27.63%,47.5 mi2,123.0 km2,2128/mi2,822/km2,39.9667°N 86.1000°W
311,Spokane Valley,Washington,101060,89755,+12.60%,37.7 mi2,97.6 km2,2681/mi2,1035/km2,47.6733°N 117.2394°W
312,San Angelo,Texas,101004,93200,+8.37%,59.9 mi2,155.1 km2,1681/mi2,649/km2,31.4411°N 100.4505°W
313,Vacaville,California,100670,92428,+8.92%,29.0 mi2,75.1 km2,3449/mi2,1332/km2,38.3539°N 121.9728°W
314,Bend,Oregon,100421,76639,+31.03%,33.1 mi2,85.7 km2,3034/mi2,1171/km2,44.0500°N 121.3000°W
